protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	ratio	sum	log2_sum	log2_ratio
NP_000009	2	0	0	1	1	2	2.0	0.0	1.0	-inf	-inf	0.0	0.0	1.0	1.0	-0.4	0.0009765625	2.0	1.0	-10.0
NP_000010	5	11	8	10	7	7	5.0	11.0	2.321928094887362	3.4594316186372978	3.0	3.3219280948873626	2.807354922057604	2.807354922057604	2.321928094887362	3.4594316186372978	2.2	16.0	4.0	1.1375035237499351
NP_000012	9	8	0	2	4	9	9.0	8.0	3.1699250014423126	3.0	-inf	1.0	2.0	3.1699250014423126	3.1699250014423126	3.0	0.8888888888888888	17.0	4.08746284125034	-0.16992500144231246
NP_000025	73	68	56	103	101	87	73.0	68.0	6.189824558880018	6.08746284125034	5.807354922057605	6.6865005271832185	6.6582114827517955	6.442943495848729	6.189824558880018	6.08746284125034	0.9315068493150684	141.0	7.139551352398794	-0.10236171762967791
NP_000030	7	7	4	0	7	1	7.0	7.0	2.807354922057604	2.807354922057604	2.0	-inf	2.807354922057604	0.0	2.807354922057604	2.807354922057604	1.0	14.0	3.8073549220576037	0.0
NP_000032	0	1	1	6	4	3	0.0	1.0	-inf	0.0	0.0	2.584962500721156	2.0	1.5849625007211563	-0.4	0.0	1024.0	1.0	0.0	10.0
NP_000042	1	0	0	0	0	0	1.0	0.0	0.0	-inf	-inf	-inf	-inf	-inf	0.0	-0.4	0.0009765625	1.0	0.0	-10.0
NP_000048	1	0	0	0	0	0	1.0	0.0	0.0	-inf	-inf	-inf	-inf	-inf	0.0	-0.4	0.0009765625	1.0	0.0	-10.0
NP_000055	4	5	3	5	6	4	4.0	5.0	2.0	2.321928094887362	1.5849625007211563	2.321928094887362	2.584962500721156	2.0	2.0	2.321928094887362	1.25	9.0	3.1699250014423126	0.32192809488736235
NP_000058	21	28	22	13	10	28	21.0	28.0	4.392317422778761	4.807354922057604	4.459431618637297	3.700439718141092	3.3219280948873626	4.807354922057604	4.392317422778761	4.807354922057604	1.3333333333333333	49.0	5.614709844115208	0.4150374992788437
NP_000066	0	7	0	0	0	0	0.0	7.0	-inf	2.807354922057604	-inf	-inf	-inf	-inf	-0.4	2.807354922057604	1024.0	7.0	2.807354922057604	10.0
NP_000068	35	18	30	0	0	0	35.0	18.0	5.129283016944966	4.169925001442312	4.906890595608519	-inf	-inf	-inf	5.129283016944966	4.169925001442312	0.5142857142857142	53.0	5.7279204545632	-0.9593580155026543
NP_000080	0	4	0	0	0	0	0.0	4.0	-inf	2.0	-inf	-inf	-inf	-inf	-0.4	2.0	1024.0	4.0	2.0	10.0
NP_000084	0	2	1	2	0	0	0.0	2.0	-inf	1.0	0.0	1.0	-inf	-inf	-0.4	1.0	1024.0	2.0	1.0	10.0
NP_000085	0	1	0	0	0	0	0.0	1.0	-inf	0.0	-inf	-inf	-inf	-inf	-0.4	0.0	1024.0	1.0	0.0	10.0
NP_000091	92	78	104	81	112	94	92.0	78.0	6.523561956057013	6.285402218862249	6.700439718141092	6.339850002884625	6.807354922057604	6.554588851677638	6.523561956057013	6.285402218862249	0.8478260869565217	170.0	7.409390936137703	-0.23815973719476455
NP_000099	2	0	0	0	0	0	2.0	0.0	1.0	-inf	-inf	-inf	-inf	-inf	1.0	-0.4	0.0009765625	2.0	1.0	-10.0
NP_000100	1	0	0	0	0	1	1.0	0.0	0.0	-inf	-inf	-inf	-inf	0.0	0.0	-0.4	0.0009765625	1.0	0.0	-10.0
NP_000108	12	32	12	2	3	6	12.0	32.0	3.5849625007211565	5.0	3.5849625007211565	1.0	1.5849625007211563	2.584962500721156	3.5849625007211565	5.0	2.6666666666666665	44.0	5.459431618637297	1.4150374992788437
NP_000117	24	48	28	23	38	40	24.0	48.0	4.584962500721157	5.584962500721157	4.807354922057604	4.523561956057013	5.247927513443585	5.321928094887363	4.584962500721157	5.584962500721157	2.0	72.0	6.169925001442312	1.0
NP_000123	0	2	0	0	0	0	0.0	2.0	-inf	1.0	-inf	-inf	-inf	-inf	-0.4	1.0	1024.0	2.0	1.0	10.0
NP_000134	5	15	10	4	11	12	5.0	15.0	2.321928094887362	3.9068905956085187	3.3219280948873626	2.0	3.4594316186372978	3.5849625007211565	2.321928094887362	3.9068905956085187	3.0	20.0	4.321928094887363	1.5849625007211563
NP_000135	3	7	7	30	32	27	3.0	7.0	1.5849625007211563	2.807354922057604	2.807354922057604	4.906890595608519	5.0	4.754887502163469	1.5849625007211563	2.807354922057604	2.3333333333333335	10.0	3.3219280948873626	1.222392421336448
NP_000143	16	16	18	28	33	30	16.0	16.0	4.0	4.0	4.169925001442312	4.807354922057604	5.044394119358453	4.906890595608519	4.0	4.0	1.0	32.0	5.0	0.0
NP_000144	0	1	1	2	2	2	0.0	1.0	-inf	0.0	0.0	1.0	1.0	1.0	-0.4	0.0	1024.0	1.0	0.0	10.0
NP_000145	2	1	1	0	0	1	2.0	1.0	1.0	0.0	0.0	-inf	-inf	0.0	1.0	0.0	0.5	3.0	1.5849625007211563	-1.0
NP_000147	2	3	4	18	17	24	2.0	3.0	1.0	1.5849625007211563	2.0	4.169925001442312	4.08746284125034	4.584962500721157	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_000166	10	10	4	7	6	10	10.0	10.0	3.3219280948873626	3.3219280948873626	2.0	2.807354922057604	2.584962500721156	3.3219280948873626	3.3219280948873626	3.3219280948873626	1.0	20.0	4.321928094887363	0.0
NP_000168	2	3	2	6	6	7	2.0	3.0	1.0	1.5849625007211563	1.0	2.584962500721156	2.584962500721156	2.807354922057604	1.0	1.5849625007211563	1.5	5.0	2.321928094887362	0.5849625007211562
NP_000170	2	2	2	0	0	0	2.0	2.0	1.0	1.0	1.0	-inf	-inf	-inf	1.0	1.0	1.0	4.0	2.0	0.0
NP_000172	1	0	0	4	7	9	1.0	0.0	0.0	-inf	-inf	2.0	2.807354922057604	3.1699250014423126	0.0	-0.4	0.0009765625	1.0	0.0	-10.0
NP_000173	12	10	8	42	55	56	12.0	10.0	3.5849625007211565	3.3219280948873626	3.0	5.392317422778761	5.78135971352466	5.807354922057605	3.5849625007211565	3.3219280948873626	0.8333333333333334	22.0	4.459431618637297	-0.2630344058337938
NP_000174	0	5	6	36	25	35	0.0	5.0	-inf	2.321928094887362	2.584962500721156	5.169925001442312	4.643856189774724	5.129283016944966	-0.4	2.321928094887362	1024.0	5.0	2.321928094887362	10.0
NP_000179	2	0	2	3	14	7	2.0	0.0	1.0	-inf	1.0	1.5849625007211563	3.8073549220576037	2.807354922057604	1.0	-0.4	0.0009765625	2.0	1.0	-10.0
NP_000182	0	10	0	0	1	0	0.0	10.0	-inf	3.3219280948873626	-inf	-inf	0.0	-inf	-0.4	3.3219280948873626	1024.0	10.0	3.3219280948873626	10.0
NP_000185	71	81	67	47	55	55	71.0	81.0	6.149747119504682	6.339850002884625	6.066089190457772	5.554588851677638	5.78135971352466	5.78135971352466	6.149747119504682	6.339850002884625	1.1408450704225352	152.0	7.247927513443586	0.1901028833799427
NP_000195	0	1	0	0	0	0	0.0	1.0	-inf	0.0	-inf	-inf	-inf	-inf	-0.4	0.0	1024.0	1.0	0.0	10.0
NP_000201	9	8	5	0	0	0	9.0	8.0	3.1699250014423126	3.0	2.321928094887362	-inf	-inf	-inf	3.1699250014423126	3.0	0.8888888888888888	17.0	4.08746284125034	-0.16992500144231246
NP_000212	0	8	0	0	0	0	0.0	8.0	-inf	3.0	-inf	-inf	-inf	-inf	-0.4	3.0	1024.0	8.0	3.0	10.0
