"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001xsy.4","IRF2BPL",-2.01273463651073,12.9340809446261,-23.4133349345105,7.78112785348443e-21,3.57931881260284e-18,37.5829926872154
"uc001wao.2","SUPT16H",0.888272015778808,14.3052146817805,15.6584852608169,5.52062247392575e-16,1.26974316900292e-13,25.9295968748596
"uc001ymk.3","EXOC3L4",-3.38921101567566,8.63449170169427,-14.6429756609033,3.29522003721187e-15,4.60756011777183e-13,24.5970092482597
"uc001xon.5","ACOT2",-2.39509404644149,10.5894563187621,-14.5350340270849,4.00657401545377e-15,4.60756011777183e-13,24.5227213458844
"uc001whd.3","LRP10",-1.02042174973729,13.3207382726871,-13.574497435882,2.39792728412031e-14,1.57578078670763e-12,22.2661621746956
"uc001wuw.4","PNN",0.803975790780811,13.9983446845366,13.6270576556679,2.16909966473211e-14,1.57578078670763e-12,22.2313179549999
"uc001xub.3","SPTLC2",0.796601861461069,14.0289731827545,13.6180558418552,2.20663529087246e-14,1.57578078670763e-12,22.201532946864
"uc021rnj.1","BC016035",3.24955205250781,7.51821093770036,13.1738601806036,5.19914036635635e-14,2.9895057106549e-12,21.9305921644268
"uc001vvs.1","BX248778",-1.40863316290563,11.3257339050562,-12.6255638059617,1.54145395252374e-13,7.87854242401021e-12,20.740881139637
"uc001wmi.3","EMC9",-1.3335387038121,11.6853083188624,-12.3064867415445,2.94591670797626e-13,1.30458661680289e-11,20.0197065699287
"uc001vvk.1","BX248778",-1.3586434880547,11.357657301033,-12.278525211571,3.11966364887649e-13,1.30458661680289e-11,20.018112005588
"uc001xor.1","PNMA1",-0.963088033229674,12.8033759530975,-11.9043574376014,6.77455187266165e-13,2.59691155118696e-11,18.9862444800964
"uc001vvq.1","BC016035",3.32003060901257,7.00515680842356,11.5482100427859,1.43886824043846e-12,5.09137992770533e-11,18.6487019287434
"uc001wwf.3","MIS18BP1",1.71516754352839,10.1858828014334,11.446896624098,1.78763583602637e-12,5.87366060408663e-11,18.3153681391396
"uc001xqa.3","LTBP2",-1.5032902157306,10.2821566492668,-10.8610236561997,6.42655664972379e-12,1.84763503679559e-10,17.0526346121122
"uc001wsc.3","SPTSSA",-0.74463694482718,13.508458372216,-10.9170225705423,5.67636468233494e-12,1.74075183591605e-10,16.6932040400037
"uc001yfi.3","ATG2B",-0.902024409424678,12.1081800265373,-10.335442931232,2.10027208273127e-11,5.08486925292834e-10,15.5804803635753
"uc001yos.4","KIF26A",-0.950457824007765,13.974590787259,-10.3804188982099,1.89526547393169e-11,4.84345621115876e-10,15.3887196608135
"uc010ail.3","HNRNPC",-5.48173636011771,6.03626296508352,-10.4912459741156,1.47310612184341e-11,3.9860518591057e-10,15.3287363722996
"uc001whz.3","AJUBA",-1.75994722701036,9.78750112741676,-9.54863598147698,1.32115102135108e-10,2.64230204270216e-09,14.1569954829652
"uc001xrl.3","NEK9",-1.14203766595132,11.1801509507811,-9.59130063161561,1.19329066731604e-10,2.49506230438808e-09,13.9959217922155
"uc001yah.2","CPSF2",0.710203070559466,13.4670538697471,9.77040658184275,7.80365507360698e-11,1.7948406669296e-09,13.9539252974595
"uc001wzv.3","ERO1L",0.687039202541209,12.9309928106614,9.59551259215446,1.18137483682132e-10,2.49506230438808e-09,13.5806626858458
"uc010tno.2","ZFHX2",-2.08795833993997,8.16755107595832,-9.02916363061621,4.65080901093754e-10,8.55748858012507e-09,13.0315927684642
"uc001xjg.3","EIF2S1",0.66146398509783,13.39821724517,9.20395189545046,3.03318637117025e-10,5.81360721140965e-09,12.5954199330862
"uc001wnp.2","NEDD8",1.95554848606168,7.63472235502629,8.6337804374509,1.24128535431419e-09,2.19612024224817e-08,12.0621638280094
"uc010aww.2","C14orf2",3.59113819673191,5.21930468030599,8.2546777994754,3.2432814774847e-09,5.32824814158201e-08,11.0545787618409
"uc001xff.4","TRMT5",0.941449073255272,10.901117596394,8.42310821027546,2.11187270847862e-09,3.59800535518579e-08,11.0392033334193
"uc001ymq.4","EIF5",-2.27058271643001,8.00390388818439,-8.16069111481404,4.12706096640121e-09,6.32816014848185e-08,10.9022077151489
"uc001vvl.4","AK022914",1.57302468378953,8.57169679262389,8.1746227992966,3.98195794446842e-09,6.31620915329474e-08,10.7472489510986
"uc001vzu.2","LINC00641",-2.0918296597122,7.6758134709958,-8.05141279766653,5.46940198919448e-09,8.11588682267568e-08,10.6289696261582
"uc001wnc.3","TM9SF1",1.42584588553635,8.00891071535679,7.86643097589305,8.84004342551144e-09,1.27075624241727e-07,9.99685968171492
"uc001ygx.2","DEGS2",2.50997707204467,5.8933940856816,7.5766887718529,1.89127277984087e-08,2.28943547033369e-07,9.4486118575635
"uc001yeh.4","LINC00341",1.50530932538446,7.85766621613941,7.60918786191473,1.73574151316466e-08,2.21789193348818e-07,9.39996358541383
"uc010tvv.2","SEL1L",0.487291730259274,13.9717476501985,7.77339287659306,1.12727252136036e-08,1.57134957522959e-07,8.80042282326964
