protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	ratio	sum	log2_sum	log2_ratio
NP_000009	2	0	0	1	1	2	2.0	1.0	1.0	-inf	-inf	0.0	0.0	1.0	1.0	0.0	0.5	3.0	1.5849625007211563	-1.0
NP_000010	5	11	8	10	7	7	5.0	10.0	2.321928094887362	3.4594316186372978	3.0	3.3219280948873626	2.807354922057604	2.807354922057604	2.321928094887362	3.3219280948873626	2.0	15.0	3.9068905956085187	1.0
NP_000012	9	8	0	2	4	9	9.0	2.0	3.1699250014423126	3.0	-inf	1.0	2.0	3.1699250014423126	3.1699250014423126	1.0	0.2222222222222222	11.0	3.4594316186372978	-2.1699250014423126
NP_000025	73	68	56	103	101	87	73.0	103.0	6.189824558880018	6.08746284125034	5.807354922057605	6.6865005271832185	6.6582114827517955	6.442943495848729	6.189824558880018	6.6865005271832185	1.4109589041095891	176.0	7.459431618637297	0.4966759683032012
NP_000030	7	7	4	0	7	1	7.0	0.0	2.807354922057604	2.807354922057604	2.0	-inf	2.807354922057604	0.0	2.807354922057604		0.0009765625	7.0	2.807354922057604	-10.0
NP_000032	0	1	1	6	4	3	0.0	6.0	-inf	0.0	0.0	2.584962500721156	2.0	1.5849625007211563		2.584962500721156	1024.0	6.0	2.584962500721156	10.0
NP_000053	0	0	0	1	1	1	0.0	1.0	-inf	-inf	-inf	0.0	0.0	0.0		0.0	1024.0	1.0	0.0	10.0
NP_000055	4	5	3	5	6	4	4.0	5.0	2.0	2.321928094887362	1.5849625007211563	2.321928094887362	2.584962500721156	2.0	2.0	2.321928094887362	1.25	9.0	3.1699250014423126	0.32192809488736235
NP_000058	21	28	22	13	10	28	21.0	13.0	4.392317422778761	4.807354922057604	4.459431618637297	3.700439718141092	3.3219280948873626	4.807354922057604	4.392317422778761	3.700439718141092	0.6190476190476191	34.0	5.08746284125034	-0.6918777046376681
NP_000068	35	18	30	0	0	0	35.0	0.0	5.129283016944966	4.169925001442312	4.906890595608519	-inf	-inf	-inf	5.129283016944966		0.0009765625	35.0	5.129283016944966	-10.0
NP_000090	0	0	0	10	8	8	0.0	10.0	-inf	-inf	-inf	3.3219280948873626	3.0	3.0		3.3219280948873626	1024.0	10.0	3.3219280948873626	10.0
NP_000091	92	78	104	81	112	94	92.0	81.0	6.523561956057013	6.285402218862249	6.700439718141092	6.339850002884625	6.807354922057604	6.554588851677638	6.523561956057013	6.339850002884625	0.8804347826086957	173.0	7.4346282276367255	-0.1837119531723881
NP_000108	12	32	12	2	3	6	12.0	2.0	3.5849625007211565	5.0	3.5849625007211565	1.0	1.5849625007211563	2.584962500721156	3.5849625007211565	1.0	0.16666666666666666	14.0	3.8073549220576037	-2.584962500721156
NP_000117	24	48	28	23	38	40	24.0	23.0	4.584962500721157	5.584962500721157	4.807354922057604	4.523561956057013	5.247927513443585	5.321928094887363	4.584962500721157	4.523561956057013	0.9583333333333334	47.0	5.554588851677638	-0.061400544664143256
NP_000134	5	15	10	4	11	12	5.0	4.0	2.321928094887362	3.9068905956085187	3.3219280948873626	2.0	3.4594316186372978	3.5849625007211565	2.321928094887362	2.0	0.8	9.0	3.1699250014423126	-0.3219280948873623
NP_000135	3	7	7	30	32	27	3.0	30.0	1.5849625007211563	2.807354922057604	2.807354922057604	4.906890595608519	5.0	4.754887502163469	1.5849625007211563	4.906890595608519	10.0	33.0	5.044394119358453	3.3219280948873626
NP_000137	0	0	1	1	1	2	0.0	1.0	-inf	-inf	0.0	0.0	0.0	1.0		0.0	1024.0	1.0	0.0	10.0
NP_000143	16	16	18	28	33	30	16.0	28.0	4.0	4.0	4.169925001442312	4.807354922057604	5.044394119358453	4.906890595608519	4.0	4.807354922057604	1.75	44.0	5.459431618637297	0.8073549220576041
NP_000144	0	1	1	2	2	2	0.0	2.0	-inf	0.0	0.0	1.0	1.0	1.0		1.0	1024.0	2.0	1.0	10.0
NP_000145	2	1	1	0	0	1	2.0	0.0	1.0	0.0	0.0	-inf	-inf	0.0	1.0		0.0009765625	2.0	1.0	-10.0
NP_000147	2	3	4	18	17	24	2.0	18.0	1.0	1.5849625007211563	2.0	4.169925001442312	4.08746284125034	4.584962500721157	1.0	4.169925001442312	9.0	20.0	4.321928094887363	3.1699250014423126
