protein	protein	Sample1_01	Sample1_02	Sample1_03	Sample2_01	Sample2_02	Sample2_03	Sample1	Sample2	protein-log2	Sample1_01-log2	Sample1_02-log2	Sample1_03-log2	Sample2_01-log2	Sample2_02-log2	Sample2_03-log2	Sample1-log2	Sample2-log2	p	p threshold	Significant	ratio	sum	log2_sum	log2_ratio
NP_004337	274752	4	23	5	0	0	0	10.666666666666666	0.0	18.067770457447825	2.0	4.523561956057013	2.321928094887362	-inf	-inf	-inf	3.415037499278844		0.0	2.7137042062415198e-06	True	0.0009765625	10.666666666666666	3.415037499278844	-10.0
NP_065157	116457	0	0	0	1	2	2	0.0	1.6666666666666667	16.82943783413818	-inf	-inf	-inf	0.0	1.0	1.0		0.7369655941662062	0.0	5.4274084124830395e-06	True	1024.0	1.6666666666666667	0.7369655941662062	10.0
NP_065174	155306	0	0	0	3	1	1	0.0	1.6666666666666667	17.244754041464244	-inf	-inf	-inf	1.5849625007211563	0.0	0.0		0.7369655941662062	0.0	8.14111261872456e-06	True	1024.0	1.6666666666666667	0.7369655941662062	10.0
NP_065715	738853	15	42	14	0	0	0	23.666666666666668	0.0	19.494927833034716	3.9068905956085187	5.392317422778761	3.8073549220576037	-inf	-inf	-inf	4.564784618783526		0.0	1.0854816824966079e-05	True	0.0009765625	23.666666666666668	4.564784618783526	-10.0
NP_065779	116874	6	3	6	0	0	0	5.0	0.0	16.83459449546949	2.584962500721156	1.5849625007211563	2.584962500721156	-inf	-inf	-inf	2.321928094887362		0.0	1.3568521031207599e-05	True	0.0009765625	5.0	2.321928094887362	-10.0
NP_066545	432389	14	18	8	0	0	0	13.333333333333334	0.0	18.721970295734838	3.8073549220576037	4.169925001442312	3.0	-inf	-inf	-inf	3.7369655941662066		0.0	1.628222523744912e-05	True	0.0009765625	13.333333333333334	3.7369655941662066	-10.0
NP_066547	39315	1	3	2	0	0	0	2.0	0.0	15.262792233936937	0.0	1.5849625007211563	1.0	-inf	-inf	-inf	1.0		0.0	1.899592944369064e-05	True	0.0009765625	2.0	1.0	-10.0
NP_065145	155254	6	4	2	0	0	0	4.0	0.0	17.244270913290446	2.584962500721156	2.0	1.0	-inf	-inf	-inf	2.0		0.0	2.1709633649932158e-05	True	0.0009765625	4.0	2.0	-10.0
NP_001128181	53690	8	10	6	0	0	0	8.0	0.0	15.7123657844479	3.0	3.3219280948873626	2.584962500721156	-inf	-inf	-inf	3.0		0.0	2.4423337856173674e-05	True	0.0009765625	8.0	3.0	-10.0
NP_001128496	69210	0	0	0	10	7	5	0.0	7.333333333333333	16.078692884291502	-inf	-inf	-inf	3.3219280948873626	2.807354922057604	2.321928094887362		2.8744691179161412	0.0	2.7137042062415198e-05	True	1024.0	7.333333333333333	2.8744691179161412	10.0
